kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,Woodiness,growth_form,leaf_type,leaf_area,Nmass,LMA,plant_height,diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Rubus,Rubus,allegheniensis,Rubus allegheniensis,Rubus allegheniensis,Rubus_allegheniensis,1,NO,Rubus allegheniensis,Rubus allegheniensis,woody,shrub,broadleaved,3243.21,26.05,36.60722827,1.055790569,2.2689,0.4792538239495557,0.34222419055177206,0.3112803787778854,0.42119064512031396
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Rubus,Rubus,canadensis,Rubus canadensis,Rubus canadensis,Rubus_canadensis,1,NO,Rubus canadensis,Rubus canadensis,woody,shrub,broadleaved,1076.3299561928457,20.35086975254906,47.944956155439705,3,2.3134,0.46390937001623817,0.3608056694973299,0.3244125331866473,0.44061185912639533
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Rubus,Rubus,flagellaris,Rubus flagellaris,Rubus flagellaris,Rubus_flagellaris,1,NO,Rubus flagellaris,Rubus flagellaris,woody,shrub,broadleaved,1172.9302631868147,19.89984386957749,56.40604851850209,0.91,3.2656,0.3971674966006669,0.36063554020202393,0.31545448711380925,0.36468267094278684
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Rubus,Rubus,idaeus,Rubus idaeus,Rubus idaeus,Rubus_idaeus,1,NO,Rubus idaeus,Rubus idaeus,woody,shrub,broadleaved,2198.09,23.31509906,45.57786255,0.939938363,1.7657,0.3952831372738891,0.34354269244885394,0.308521737542714,0.3755080594021869
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Rubus,Rubus,occidentalis,Rubus occidentalis,Rubus occidentalis,Rubus_occidentalis,1,NO,Rubus occidentalis,Rubus occidentalis,woody,shrub,broadleaved,545.56,15.7,43.12848477,0.701697348,1.3658,0.4100548644760001,0.3628401952496635,0.3252012494401424,0.3888141605091202
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Rubus,Rubus,pubescens,Rubus pubescens,Rubus pubescens,Rubus_pubescens,1,NO,Rubus pubescens,NA,woody,shrub,broadleaved,4175.16,19.32149063,27.51125441,6.3977008337971855,60.96232084512815,0.49601638166912776,0.35133527645477186,0.31881961737904724,0.47792845626999564
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Rumex,Rumex,acetosella,Rumex acetosella,Rumex acetosella,Rumex_acetosella,1,NO,Rumex acetosella,Rumex acetosella,non-woody,herbaceous non-graminoid,broadleaved,161.17,30.12281595,45.38463706,0.179058268,0.4017,0.368824,0.33002535973383984,0.27935303349566787,0.368824
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Salix,Salix,bebbiana,Salix bebbiana,Salix bebbiana,Salix_bebbiana,1,NO,Salix bebbiana,Salix bebbiana,woody,shrub/tree,broadleaved,2040.1335883333381,21.1,59.793519461099905,4.36592131,0.18,0.4264920383319655,0.33363079577779486,0.28492051656117273,0.3928717851025802
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Salix,Salix,discolor,Salix discolor,Salix discolor,Salix_discolor,1,NO,Salix discolor,Salix discolor,woody,shrub/tree,broadleaved,1484.53,21.556881608016365,56.64952712930989,6.9828361,0.32,0.4442406702179653,0.3313110118235543,0.2859143138375059,0.4042699776235802
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Salix,Salix,petiolaris,Salix petiolaris,Salix petiolaris,Salix_petiolaris,1,NO,Salix petiolaris,Salix petiolaris,woody,shrub,broadleaved,1900.316330262447,20.521152615648084,57.82337238174263,7.0104,0.9033,0.4420224414105711,0.34290130393226853,0.30570472171694274,0.4114667979931468
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Salix,Salix,humilis,Salix humilis,Salix humilis,Salix_humilis,1,NO,Salix humilis,Salix humilis,woody,shrub,broadleaved,1132.8244246153859,19.014288558403557,63.88279463160395,3.04,0.16,0.4428536873551715,0.34859723545402016,0.3081571289909428,0.4199673207699953
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Salix,Salix,interior,Salix interior,Salix interior,Salix_interior,1,NO,Salix interior,Salix interior,woody,shrub/tree,broadleaved,2673.0001933333356,21.491840678999026,60.808145146966616,7.07,0.04,0.44069418769685414,0.33355600069816327,0.28726481981783936,0.4000700321432468
